"TC编号","优先级","状态","工程覆盖度","责任人","执行场景","通过条件","必须提交的证据"
"PER-005","P0","未执行","代码支持/待现场验证","李艳、乌鸦","员工共享PIN或代操作演练","系统审计能定位实际账号；现场判定失败并立即更换PIN，不允许补签冒充本人动作","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-007","P1","未执行","代码支持/待现场验证","李艳、乌鸦","李艳营业前请假，护古指定当晚值班负责人","排班、升级链、审批和闭店责任更新；所有员工端看到同一生效版本","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-008","P1","未执行","代码支持/待现场验证","李艳、乌鸦","护古缺勤，李艳负责日常经营、重大事项升级陈方宇","不自动扩大李艳额度；超限必须到陈方宇；缺勤和代理范围有有效期","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-009","P1","未执行","代码支持/待现场验证","李艳、乌鸦","陈方宇无法在线，出现超运营负责人限额事项","系统不得绕过上限；事项保持待处理或执行已发布的应急规则，不能口头伪造批准","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-010","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Tom迟到，休闲/散客/卡座尚无主责","Tyke自动/人工接管，李艳可见责任缺口；Tom到岗后显式交还，不出现双主责","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-011","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Jerry营业中突发离岗","未完成任务按优先级转Tyke或李艳；已接单、已到桌和未完成原因全部保留","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-012","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Tyke已在候补任务中，又出现第二个区域超时","系统识别候补繁忙，升级李艳分配Tom/Jerry；不能把同一人同时显示为已到两个远端桌","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-013","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Tom与Jerry互换责任区","新任务按新配置派发；旧任务仍由原负责人完成或显式转交；换区时间和批准人可追溯","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-014","P1","未执行","代码支持/待现场验证","李艳、乌鸦","服务员与门迎临时互换","李艳发布轮岗，门迎任务转给具备门迎技能的Tom/Jerry/Tyke；桌区必须仍有候补","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-015","P1","未执行","代码支持/待现场验证","李艳、乌鸦","李艳临时兼门迎时收到经理投诉","门迎由Tyke接替，李艳处理投诉；系统不得让低权限服务员独立关闭经理投诉","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-016","P1","未执行","代码支持/待现场验证","李艳、乌鸦","冷言志被安排门迎","系统/排班规则拒绝或提示技能不匹配；改派李艳/Tom/Jerry/Tyke，并留下修正记录","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-017","P1","未执行","代码支持/待现场验证","李艳、乌鸦","冷言志请假，吧台无主调酒师","酒水商品暂停销售或配置合格替岗人；不能让无调酒技能员工点击制作完成","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-018","P1","未执行","代码支持/待现场验证","李艳、乌鸦","冷言志在吧台高峰，现场投诉需要副店长","李艳或护古接管投诉；冷言志继续保证吧台，不因管理兼职导致出品无人负责","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-019","P1","未执行","代码支持/待现场验证","李艳、乌鸦","申良良请假或中途离岗","相关后厨SKU停售/售罄或由已配置合格替岗人接管；已下单项逐桌解释、取消/退款或改品","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-022","P1","未执行","代码支持/待现场验证","李艳、乌鸦","付淳羽请假或歌手接待负责人离岗","点歌入口进入人工确认/暂停状态；李艳接管现有请求，顾客看到真实状态而非假完成","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-023","P1","未执行","代码支持/待现场验证","李艳、乌鸦","阿金请假，演出音响灯光无人负责","演出前发布替岗/简化方案；无法保证时暂停点歌与演出，不允许系统显示“正常演出”","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-018","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","客人带婴儿车、轮椅或行动不便","门迎记录服务偏好并安排安全位置；只保留必要信息，不记录歧视性标签","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-019","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","疑似未成年人单独点酒","按法规和门店政策核验并拒绝酒精商品；拒绝原因留痕，不记录完整证件影像","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-020","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","明显醉酒、冲突或安全风险","停止继续售酒，升级李艳/护古，记录安全处置；不得用赠酒平息风险","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-021","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","企业客户、多桌团体、统一结账","每桌独立履约，建立团体关联和统一付款人；不得混淆商品送达与资金分摊","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-022","P1","未执行","部分实现","李艳、Tom、Jerry、Tyke","生日客要求低调","生日权益可执行，但不公开称呼、唱歌或灯光；公开偏好可随时修改","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-023","P1","未执行","部分实现","李艳、Tom、Jerry、Tyke","生日客临时要求互动","现场二次确认公开范围，联动舞台、出品和服务；任何取消都释放未核销权益","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SVC-019","P1","未执行","代码支持/待现场验证","李艳、Tom、Jerry、Tyke","摄像头/AI建议与现场事实冲突","员工以现场核实为准并反馈误判；不得自动扣库存、收费、识别人脸或公开客户身份","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-001","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客户自助扫码下单后微信支付","订单、金额、桌次一致；只由验签回调/服务端查单置成功；员工端实时收到成功信号","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-002","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","服务员协助点单后展示支付二维码","二维码绑定唯一订单和金额；客人扫码后客户/服务员/收银同步状态","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-003","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","服务员选择扫客户付款码","显示金额二次确认；付款码不落日志；渠道结果未知时不重复扫","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-004","P1","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客人手机同步服务员建立的订单后点击支付","同一订单只产生受控支付意图；服务员二维码与手机支付不能造成重复支付","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-005","P1","未执行","代码支持/待现场验证","三沐、李艳、护古、陈方宇","物理POS无法对接，收款后手工报送","记录终端、批次、凭证号、金额和操作者；状态为待对账，不伪装API成功","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-006","P1","未执行","代码支持/待现场验证","三沐、李艳、护古、陈方宇","现金支付","双人点验或经理复核，记录金额、找零和收银人；日结现金实盘一致","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-007","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","一桌多人拆分支付","每笔分摊到商品/金额，合计不超过应收；失败分摊可重试但不影响已成功部分","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-008","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","微信+POS+现金混合支付","各渠道独立证据，桌账剩余实时准确；所有渠道合计为应收且无重复","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-009","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客户端超时、渠道结果未知","冻结再次支付，使用原单查单；员工不得口头改成功；最终结果和请求ID可追溯","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-010","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","同一支付成功回调两次或乱序回调","只入账一次；成功后的失败/处理中回调不能回滚终态；保存验签与幂等记录","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-011","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","回调金额、币种、商户、订单号不匹配","拒绝应用到桌账并告警；不能显示支付成功；原始摘要进入安全审计","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-012","P1","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客人少付、超付或付款到错误订单","系统阻止或建立明确差异，不自动挪款；由三沐和李艳核对渠道后处理","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-016","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","商品级部分退款","关联原orderItem和payment；申请、审批不同人；金额不超过可退余额；渠道与桌账同步一次","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-017","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","全单退款、重复退款和退款失败重试","原支付可追溯；失败不显示已退；重试关联同一refundId；重复回调不二次退款","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-018","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","POS支付部分退款","生成退款待办和物理凭证；系统不能虚构POS退款成功，日对账前保持待核验","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-020","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","闭桌与日结","只有余额0且无支付未知/退款无主时可闭桌；系统、渠道、POS、现金差异逐笔有责任人和期限","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"SNG-008","P1","未执行","代码支持/待现场验证","付淳羽、阿金、李艳","歌手接受、客人现场付款、排队演唱","状态按待确认、可演唱、待收费、已收费、排队、演唱中、完成流转；各责任人留痕","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SNG-009","P0","未执行","代码支持/待现场验证","付淳羽、阿金、李艳","歌手拒绝、客户取消或已收款后无法演唱","未收款直接结束；已收款进入退款责任链，不能显示完成或口头抵消","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SNG-012","P1","未执行","能力缺口","付淳羽、阿金、李艳","阿金报告音响/灯光故障","点歌与演出进入延迟/暂停；客户看到友好说明，任务保留，不伪造已演唱","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"INC-001","P0","未执行","能力缺口","李艳、护古、陈方宇","全店停电或照明突然中断","阿金/李艳启动应急照明和疏散判断，三沐停止收款，系统记录中断时间；恢复后逐桌核账，不重复下单/收费","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-002","P0","未执行","能力缺口","李艳、护古、陈方宇","火警、烟雾或强制疏散","立即停止经营并按现场预案疏散，系统批量标记营业暂停但不强关桌账；人员清点、报警和恢复决定留痕","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-003","P0","未执行","能力缺口","李艳、护古、陈方宇","客人晕倒、受伤或需要急救","现场先急救/呼叫120，李艳指挥、护古获报；只记录必要事实、处置时间和见证人，不让AI替代医疗判断","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-004","P0","未执行","能力缺口","李艳、护古、陈方宇","客人发生严重过敏反应","停止相关出品、呼叫急救、封存原商品和BOM版本；订单、档口、服务员和过敏备注完整可追溯","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-005","P1","未执行","能力缺口","李艳、护古、陈方宇","轻微割伤、烫伤或员工工伤","立即停止涉事岗位、处理伤情和污染物，指定替补；事故、班次、设备/商品和后续复盘留痕","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-006","P1","未执行","能力缺口","李艳、护古、陈方宇","客人醉酒失控、打架或威胁他人","停止售酒，李艳/护古接管，必要时报警；服务员不单独对抗，系统保留事件时间线和相关桌次","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-007","P1","未执行","能力缺口","李艳、护古、陈方宇","骚扰、偷拍或客人要求换座避开他人","优先保护被影响客人并安排换桌/安保；限制事件详情可见范围，不把敏感描述公开给普通员工","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-008","P1","未执行","部分实现","李艳、护古、陈方宇","客人拒付、逃单或账单争议","冻结桌次关闭，保留订单、送达、支付和沟通证据；由李艳处理，员工不得私自代付或删单","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-009","P1","未执行","部分实现","李艳、护古、陈方宇","客人称重复扣款或盗刷","三沐先查原支付和渠道，不再次退款/收费；建立资金争议单，结果未知时升级李艳和护古","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-010","P1","未执行","能力缺口","李艳、护古、陈方宇","现金疑似假币或找零争议","三沐暂停该笔现金确认并由李艳复核；记录金额和处置，不在系统中伪报其他支付渠道","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-011","P1","未执行","能力缺口","李艳、护古、陈方宇","客人遗失手机、包或其他物品","建立失物记录、封存位置、拾取人与交接人；领取时核验，避免在公开列表展示物品敏感信息","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-012","P1","未执行","能力缺口","李艳、护古、陈方宇","玻璃破碎、酒水泼洒或通道湿滑","立即暂停周边桌/通道、清洁并设置警示，服务任务升级；损耗、受影响订单和恢复时间留痕","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-013","P1","未执行","部分实现","李艳、护古、陈方宇","卫生、异物、食品变质或温控问题","停售同批商品、封存批次并追溯已售桌；处理投诉、退款/重做和库存报损，不能只补一份后继续售卖","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-014","P1","未执行","能力缺口","李艳、护古、陈方宇","厕所、空调、给排水或电梯故障影响经营","发布区域/设施状态，调整桌台和服务话术；严重时限制接客，故障、责任人和恢复确认可追溯","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-015","P1","阻塞","外部依赖","李艳、护古、陈方宇","支付服务商、微信或物理POS同时不可用","明确可用备用渠道和风险上限；禁止凭口头截图确认到账，所有待核对收款进入差异清单","需真实微信、星驿和物理POS同时不可用的门店降级演练记录"
